companyName,englishName,countryOrRegion,category,coreProduct,researchStatus,updatedAt,officialWebsite,xiangbeiJudgment
OpenAI,OpenAI,United States,基础模型与AI应用,ChatGPT,观察对象,2026-06-03,,"观察其如何把基础模型能力转化为大众产品和开发者生态。"
DeepSeek,DeepSeek,China,基础模型,DeepSeek,观察对象,2026-06-03,,"观察其对模型效率、开源生态和中国AI产业叙事的影响。"
Anthropic,Anthropic,United States,基础模型与AI助手,Claude,观察对象,2026-06-03,,"观察其围绕安全、企业场景和助手产品形成的差异化路径。"
Perplexity,Perplexity,United States,AI搜索,Perplexity,观察对象,2026-06-03,,"观察其如何重构信息检索、答案生成和引用来源之间的关系。"
Anysphere / Cursor,Anysphere / Cursor,United States,AI开发者工具,Cursor,观察对象,2026-06-03,,"观察其如何把AI能力嵌入软件开发流程。"
Midjourney,Midjourney,United States,AI图像生成,Midjourney,观察对象,2026-06-03,,"观察其在视觉创作工具和创作者工作流中的位置。"
Runway,Runway,United States,AI视频生成,Runway,观察对象,2026-06-03,,"观察其对视频生产流程和创意工具链的影响。"
MiniMax,MiniMax,China,基础模型与AI应用,MiniMax,观察对象,2026-06-03,,"观察其在中国AI应用和多模态方向中的产品化路径。"
月之暗面,Moonshot AI,China,基础模型与AI助手,Kimi,观察对象,2026-06-03,,"观察其在长文本、AI助手和中文用户场景中的表现。"
智谱AI,Zhipu AI,China,基础模型,GLM,观察对象,2026-06-03,,"观察其在国产基础模型和企业服务中的持续演进。"
阿里通义,Alibaba Tongyi,China,基础模型与云服务,通义,观察对象,2026-06-03,,"观察其与云计算、办公和企业生态结合的路径。"
百度文心,Baidu Wenxin,China,基础模型与AI应用,文心,观察对象,2026-06-03,,"观察其在搜索、内容和企业AI应用中的结构性价值。"
腾讯混元,Tencent Hunyuan,China,基础模型与生态应用,混元,观察对象,2026-06-03,,"观察其与社交、内容和企业服务生态的结合。"
字节豆包,ByteDance Doubao,China,AI助手与应用,豆包,观察对象,2026-06-03,,"观察其在消费级AI助手和内容分发场景中的渗透。"
快手可灵,Kuaishou Kling,China,AI视频生成,可灵,观察对象,2026-06-03,,"观察其在视频生成和短视频生态中的应用空间。"
生数科技 / Vidu,Shengshu Technology / Vidu,China,AI视频生成,Vidu,观察对象,2026-06-03,,"观察其在视频生成模型和创作工具场景中的发展。"
ElevenLabs,ElevenLabs,United States,AI语音,ElevenLabs,观察对象,2026-06-03,,"观察其在语音生成、配音和多语言内容生产中的角色。"
xAI,xAI,United States,基础模型与AI助手,Grok,观察对象,2026-06-03,,"观察其与实时信息、社交平台和助手产品之间的关系。"
Notion AI,Notion AI,United States,AI办公协作,Notion AI,观察对象,2026-06-03,,"观察其如何把AI能力嵌入知识管理和团队协作流程。"
Canva AI,Canva AI,Australia,AI设计工具,Canva AI,观察对象,2026-06-03,,"观察其如何把生成式AI嵌入大众设计和内容生产。"

